"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","arc_length","Points:0","Points:1","Points:2"
0.49799,0.49799,0,8.7587e-10,8.7587e-10,8.7587e-10,3.4495,0.12882,1.494,0
0.49656,0.49656,0,1.8979e-10,1.8979e-10,1.8979e-10,3.4944,0.1735,1.4897,0
0.49499,0.49499,0,2.7235e-10,2.7235e-10,2.7235e-10,3.5297,0.20844,1.485,0
0.49249,0.49249,0,1.9841e-10,1.9841e-10,1.9841e-10,3.5795,0.25769,1.4775,0
0.49101,0.49101,0,1.7717e-10,1.7717e-10,1.7717e-10,3.604,0.28175,1.473,0
0.48935,0.48935,0,5.0816e-11,5.0816e-11,5.0816e-11,3.6288,0.30604,1.4681,0
0.4863,0.4863,0,-1.2309e-10,-1.2309e-10,-1.2309e-10,3.6724,0.34868,1.4589,0
0.48628,0.48628,0,-1.2376e-10,-1.2376e-10,-1.2376e-10,3.6726,0.34895,1.4588,0
0.4861,0.4861,0,-1.2546e-10,-1.2546e-10,-1.2546e-10,3.6748,0.35105,1.4583,0
0.48118,0.48118,0,-1.2111e-10,-1.2111e-10,-1.2111e-10,3.7328,0.40708,1.4435,0
0.48046,0.48046,0,-1.2869e-10,-1.2869e-10,-1.2869e-10,3.7403,0.41436,1.4414,0
0.47558,0.47558,0,-8.8491e-11,-8.8491e-11,-8.8491e-11,3.7903,0.46212,1.4267,0
0.47371,0.47371,0,-9.6494e-11,-9.6494e-11,-9.6494e-11,3.8075,0.47835,1.4211,0
0.46833,0.46833,0,-6.8697e-11,-6.8697e-11,-6.8697e-11,3.8563,0.52441,1.405,0
0.46566,0.46566,0,-6.5927e-11,-6.5927e-11,-6.5927e-11,3.878,0.54461,1.397,0
0.46028,0.46028,0,-3.9095e-11,-3.9095e-11,-3.9095e-11,3.9216,0.58515,1.3808,0
0.45104,0.45104,0,-3.2342e-11,-3.2342e-11,-3.2342e-11,3.9896,0.6472,1.3531,0
0.45072,0.45072,0,-3.4575e-11,-3.4575e-11,-3.4575e-11,3.9919,0.64925,1.3522,0
0.45026,0.45026,0,-3.4217e-11,-3.4217e-11,-3.4217e-11,3.995,0.65203,1.3508,0
0.44108,0.44108,0,-2.2533e-11,-2.2533e-11,-2.2533e-11,4.055,0.70542,1.3232,0
0.43475,0.43475,0,-1.6886e-11,-1.6886e-11,-1.6886e-11,4.095,0.74059,1.3043,0
0.43365,0.43365,0,-1.4671e-11,-1.4671e-11,-1.4671e-11,4.1017,0.74642,1.301,0
0.43271,0.43271,0,-1.3415e-11,-1.3415e-11,-1.3415e-11,4.1073,0.7513,1.2981,0
0.42265,0.42265,0,-5.6047e-12,-5.6047e-12,-5.6047e-12,4.165,0.80039,1.2679,0
0.41673,0.41673,0,-1.5455e-12,-1.5455e-12,-1.5455e-12,4.1981,0.82836,1.2502,0
0.41382,0.41382,0,-2.5077e-13,-2.5077e-13,-2.5077e-13,4.2136,0.84115,1.2415,0
0.40557,0.40557,0,5.7632e-12,5.7632e-12,5.7632e-12,4.2573,0.87713,1.2167,0
0.40477,0.40477,0,5.698e-12,5.698e-12,5.698e-12,4.2614,0.88051,1.2143,0
0.40444,0.40444,0,5.7552e-12,5.7552e-12,5.7552e-12,4.2631,0.88185,1.2133,0
0.40362,0.40362,0,5.5544e-12,5.5544e-12,5.5544e-12,4.2672,0.88517,1.2109,0
0.39483,0.39483,0,-1.8183e-12,-1.8183e-12,-1.8183e-12,4.3107,0.91973,1.1845,0
0.39009,0.39009,0,-1.7349e-12,-1.7349e-12,-1.7349e-12,4.3338,0.93802,1.1703,0
0.38479,0.38479,0,-2.3729e-12,-2.3729e-12,-2.3729e-12,4.3588,0.95722,1.1544,0
0.37768,0.37768,0,-1.7291e-12,-1.7291e-12,-1.7291e-12,4.3914,0.98196,1.133,0
0.36959,0.36959,0,-1.5629e-12,-1.5629e-12,-1.5629e-12,4.4281,1.0094,1.1088,0
0.36487,0.36487,0,-1.3421e-12,-1.3421e-12,-1.3421e-12,4.449,1.0248,1.0946,0
0.35384,0.35384,0,-7.9963e-13,-7.9963e-13,-7.9963e-13,4.4968,1.0593,1.0615,0
0.35076,0.35076,0,-7.7185e-13,-7.7185e-13,-7.7185e-13,4.5099,1.0686,1.0523,0
0.33852,0.33852,0,-5.3281e-13,-5.3281e-13,-5.3281e-13,4.5606,1.1036,1.0156,0
0.33631,0.33631,0,-5.0702e-13,-5.0702e-13,-5.0702e-13,4.5695,1.1096,1.0089,0
0.32328,0.32328,0,-3.3661e-13,-3.3661e-13,-3.3661e-13,4.6217,1.144,0.96983,0
0.3198,0.3198,0,-3.3771e-13,-3.3771e-13,-3.3771e-13,4.6353,1.1528,0.95941,0
0.31107,0.31107,0,-1.09e-12,-1.09e-12,-1.09e-12,4.6688,1.1737,0.9332,0
0.30318,0.30318,0,-1.3058e-12,-1.3058e-12,-1.3058e-12,4.699,1.1925,0.90955,0
0.29991,0.29991,0,-1.4638e-12,-1.4638e-12,-1.4638e-12,4.7113,1.1998,0.89973,0
0.2844,0.2844,0,-1.2501e-12,-1.2501e-12,-1.2501e-12,4.7688,1.2336,0.85321,0
0.28341,0.28341,0,-1.2143e-12,-1.2143e-12,-1.2143e-12,4.7724,1.2357,0.85021,0
0.2832,0.2832,0,-1.2104e-12,-1.2104e-12,-1.2104e-12,4.7732,1.2362,0.8496,0
0.26596,0.26596,0,-8.0835e-13,-8.0835e-13,-8.0835e-13,4.8349,1.2698,0.79787,0
0.26169,0.26169,0,-8.5278e-13,-8.5278e-13,-8.5278e-13,4.85,1.2779,0.78507,0
0.25442,0.25442,0,-6.685e-13,-6.685e-13,-6.685e-13,4.8754,1.2907,0.76325,0
