"psi","forces:0","forces:1","forces:2","vort","mu","rho","temperature","pressure","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.50089,0,0,0,5.0733,0,0,-0.00096847,0,3.2868,-0.0018182,0,0,0,0,1,0.142,5,0.142,0
0.50421,0,0,0,5.1208,0,0,-0.00095028,0,3.2821,-0.0015437,0,0,0,0,1,0.143,5,0.143,0
0.50753,0,0,0,5.1682,0,0,-0.0009321,0,3.2773,-0.0012691,0,0,0,0,1,0.144,5,0.144,0
0.51085,0,0,0,5.2156,0,0,-0.00091392,0,3.2725,-0.00099454,0,0,0,0,1,0.145,5,0.145,0
0.51417,0,0,0,5.2631,0,0,-0.00089573,0,3.2677,-0.00071998,0,0,0,0,1,0.146,5,0.146,0
0.51749,0,0,0,5.3105,0,0,-0.00087755,0,3.2629,-0.00044541,0,0,0,0,1,0.147,5,0.147,0
0.52082,0,0,0,5.3579,0,0,-0.00085937,0,3.2581,-0.00017085,0,0,0,0,1,0.148,5,0.148,0
0.52414,0,0,0,5.4054,0,0,-0.00084118,0,3.2534,0.00010372,0,0,0,0,1,0.149,5,0.149,0
0.52746,0,0,0,5.4528,0,0,-0.000823,0,3.2486,0.00037829,0,0,0,0,1,0.15,5,0.15,0
0.53078,0,0,0,5.5002,0,0,-0.00080482,0,3.2438,0.00065285,0,0,0,0,1,0.151,5,0.151,0
0.5341,0,0,0,5.5477,0,0,-0.00078663,0,3.239,0.00092741,0,0,0,0,1,0.152,5,0.152,0
0.53742,0,0,0,5.5951,0,0,-0.00076845,0,3.2342,0.001202,0,0,0,0,1,0.153,5,0.153,0
0.54074,0,0,0,5.6435,0,0,-0.00075046,0,3.2293,0.0014094,0,0,0,0,1,0.154,5,0.154,0
0.54404,0,0,0,5.6928,0,0,-0.00073263,0,3.2242,0.0015623,0,0,0,0,1,0.155,5,0.155,0
0.54735,0,0,0,5.7421,0,0,-0.0007148,0,3.2192,0.0017152,0,0,0,0,1,0.156,5,0.156,0
0.55059,0,0,0,5.7963,0,0,-0.00069799,0,3.2135,0.001949,0,0,0,0,1,0.157,5,0.157,0
0.55362,0,0,0,5.8682,0,0,-0.00068483,0,3.2057,0.0024701,0,0,0,0,1,0.158,5,0.158,0
0.55665,0,0,0,5.9402,0,0,-0.00067166,0,3.198,0.0029913,0,0,0,0,1,0.159,5,0.159,0
0.55969,0,0,0,6.0121,0,0,-0.0006585,0,3.1902,0.0035124,0,0,0,0,1,0.16,5,0.16,0
0.56272,0,0,0,6.0841,0,0,-0.00064533,0,3.1824,0.0040335,0,0,0,0,1,0.161,5,0.161,0
0.56576,0,0,0,6.1558,0,0,-0.00063186,0,3.1748,0.0045476,0,0,0,0,1,0.162,5,0.162,0
