"psi","forces:0","forces:1","forces:2","vort","mu","rho","temperature","pressure","velocity:0","velocity:1","velocity:2","ALE_velocity:0","ALE_velocity:1","ALE_velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.60744,0,0,0,4.2894,0,0,0.21679,0,2.0413,0.022379,0,0,0,0,1,0.24904,5,0.24904,0
0.61022,0,0,0,4.3102,0,0,0.21861,0,2.0353,0.022602,0,0,0,0,1,0.25041,5,0.25041,0
0.613,0,0,0,4.331,0,0,0.22044,0,2.0293,0.022824,0,0,0,0,1,0.25177,5,0.25177,0
0.61578,0,0,0,4.3519,0,0,0.22227,0,2.0233,0.023047,0,0,0,0,1,0.25313,5,0.25313,0
0.61856,0,0,0,4.3727,0,0,0.2241,0,2.0173,0.023269,0,0,0,0,1,0.25449,5,0.25449,0
0.62134,0,0,0,4.3936,0,0,0.22592,0,2.0113,0.023491,0,0,0,0,1,0.25585,5,0.25585,0
0.62411,0,0,0,4.4144,0,0,0.22775,0,2.0053,0.023714,0,0,0,0,1,0.25721,5,0.25721,0
0.62689,0,0,0,4.4353,0,0,0.22958,0,1.9993,0.023936,0,0,0,0,1,0.25857,5,0.25857,0
0.62967,0,0,0,4.4561,0,0,0.23141,0,1.9933,0.024158,0,0,0,0,1,0.25993,5,0.25993,0
0.63245,0,0,0,4.477,0,0,0.23323,0,1.9873,0.024381,0,0,0,0,1,0.26129,5,0.26129,0
0.63523,0,0,0,4.4978,0,0,0.23506,0,1.9813,0.024603,0,0,0,0,1,0.26265,5,0.26265,0
0.63801,0,0,0,4.5187,0,0,0.23689,0,1.9753,0.024825,0,0,0,0,1,0.26401,5,0.26401,0
0.64079,0,0,0,4.5395,0,0,0.23872,0,1.9693,0.025048,0,0,0,0,1,0.26538,5,0.26538,0
0.64357,0,0,0,4.5604,0,0,0.24055,0,1.9633,0.02527,0,0,0,0,1,0.26674,5,0.26674,0
0.64634,0,0,0,4.5812,0,0,0.24237,0,1.9573,0.025492,0,0,0,0,1,0.2681,5,0.2681,0
0.64912,0,0,0,4.602,0,0,0.2442,0,1.9513,0.025715,0,0,0,0,1,0.26946,5,0.26946,0
0.6519,0,0,0,4.6229,0,0,0.24603,0,1.9453,0.025937,0,0,0,0,1,0.27082,5,0.27082,0
0.65468,0,0,0,4.6437,0,0,0.24786,0,1.9393,0.02616,0,0,0,0,1,0.27218,5,0.27218,0
0.65746,0,0,0,4.6646,0,0,0.24968,0,1.9333,0.026382,0,0,0,0,1,0.27354,5,0.27354,0
0.66024,0,0,0,4.6854,0,0,0.25151,0,1.9273,0.026604,0,0,0,0,1,0.2749,5,0.2749,0
0.66302,0,0,0,4.7063,0,0,0.25334,0,1.9213,0.026827,0,0,0,0,1,0.27626,5,0.27626,0
0.6657,0,0,0,4.7261,0,0,0.25524,0,1.915,0.027043,0,0,0,0,1,0.27762,5,0.27762,0
0.66815,0,0,0,4.7434,0,0,0.25735,0,1.9079,0.027245,0,0,0,0,1,0.27898,5,0.27898,0
0.67059,0,0,0,4.7606,0,0,0.25946,0,1.9009,0.027447,0,0,0,0,1,0.28035,5,0.28035,0
0.67303,0,0,0,4.7779,0,0,0.26157,0,1.8938,0.027649,0,0,0,0,1,0.28171,5,0.28171,0
0.67547,0,0,0,4.7951,0,0,0.26368,0,1.8868,0.027851,0,0,0,0,1,0.28307,5,0.28307,0
0.67792,0,0,0,4.8123,0,0,0.26579,0,1.8797,0.028053,0,0,0,0,1,0.28443,5,0.28443,0
0.68036,0,0,0,4.8296,0,0,0.2679,0,1.8727,0.028254,0,0,0,0,1,0.28579,5,0.28579,0
0.6828,0,0,0,4.8468,0,0,0.27001,0,1.8657,0.028456,0,0,0,0,1,0.28715,5,0.28715,0
0.68524,0,0,0,4.8641,0,0,0.27211,0,1.8586,0.028658,0,0,0,0,1,0.28851,5,0.28851,0
0.68769,0,0,0,4.8813,0,0,0.27422,0,1.8516,0.02886,0,0,0,0,1,0.28987,5,0.28987,0
0.69013,0,0,0,4.8986,0,0,0.27633,0,1.8445,0.029062,0,0,0,0,1,0.29123,5,0.29123,0
0.69257,0,0,0,4.9158,0,0,0.27844,0,1.8375,0.029264,0,0,0,0,1,0.29259,5,0.29259,0
