"vector:0","vector:1","vector:2","scalar1","scalar2","scalar3","Points:0","Points:1","Points:2"
3.0363,0,0,0.022941,0.022941,0,6.9461,0,0
2.1569,0,0,0.025939,0.025939,0,6.8862,0,0
2.5503,0,0,0.024049,0.024049,0,6.8263,0,0
2.2278,0,0,0.026268,0.026268,0,6.7665,0,0
2.3897,0,0,0.025726,0.025726,0,6.7066,0,0
2.6433,0,0,0.023091,0.023091,0,6.6467,0,0
2.6736,0,0,0.023804,0.023804,0,6.5868,0,0
2.4319,0,0,0.025578,0.025578,0,6.5269,0,0
2.4409,0,0,0.021755,0.021755,0,6.4671,0,0
2.9899,0,0,0.019839,0.019839,0,6.4072,0,0
2.1256,0,0,0.022264,0.022264,0,6.3473,0,0
2.4776,0,0,0.020638,0.020638,0,6.2874,0,0
2.1897,0,0,0.02241,0.02241,0,6.2275,0,0
2.3473,0,0,0.021849,0.021849,0,6.1677,0,0
2.5304,0,0,0.019392,0.019392,0,6.1078,0,0
2.717,0,0,0.019684,0.019684,0,6.0479,0,0
2.1983,0,0,0.021758,0.021758,0,5.988,0,0
2.5786,0,0,0.019725,0.019725,0,5.9281,0,0
2.6538,0,0,0.01929,0.01929,0,5.8683,0,0
2.5684,0,0,0.020871,0.020871,0,5.8084,0,0
2.1961,0,0,0.021122,0.021122,0,5.7485,0,0
2.5489,0,0,0.01703,0.01703,0,5.6886,0,0
2.8467,0,0,0.015498,0.015498,0,5.6287,0,0
2.0791,0,0,0.017659,0.017659,0,5.5689,0,0
2.7514,0,0,0.014698,0.014698,0,5.509,0,0
2.3302,0,0,0.013353,0.013353,0,5.4491,0,0
2.3345,0,0,0.015105,0.015105,0,5.3892,0,0
2.6552,0,0,0.016286,0.016286,0,5.3293,0,0
2.1543,0,0,0.015061,0.015061,0,5.2695,0,0
2.46,0,0,0.012433,0.012433,0,5.2096,0,0
2.5041,0,0,0.011829,0.011829,0,5.1497,0,0
2.3848,0,0,0.012749,0.012749,0,5.0898,0,0
2.3588,0,0,0.013979,0.013979,0,5.0299,0,0
2.3645,0,0,0.012009,0.012009,0,4.9701,0,0
2.7066,0,0,0.010811,0.010811,0,4.9102,0,0
2.4792,0,0,0.013585,0.013585,0,4.8503,0,0
2.1115,0,0,0.014613,0.014613,0,4.7904,0,0
2.4802,0,0,0.012312,0.012312,0,4.7305,0,0
2.4576,0,0,0.01054,0.01054,0,4.6707,0,0
2.3445,0,0,0.010341,0.010341,0,4.6108,0,0
2.2413,0,0,0.01009,0.01009,0,4.5509,0,0
2.2851,0,0,0.0098636,0.0098636,0,4.491,0,0
2.3591,0,0,0.00998,0.00998,0,4.4311,0,0
2.4504,0,0,0.0098309,0.0098309,0,4.3713,0,0
2.1135,0,0,0.0094746,0.0094746,0,4.3114,0,0
2.2868,0,0,0.0079555,0.0079555,0,4.2515,0,0
1.9943,0,0,0.0076557,0.0076557,0,4.1916,0,0
2.6983,0,0,0.0072562,0.0072562,0,4.1317,0,0
2.2064,0,0,0.007673,0.007673,0,4.0719,0,0
2.214,0,0,0.0071937,0.0071937,0,4.012,0,0
2.399,0,0,0.0062374,0.0062374,0,3.9521,0,0
2.3711,0,0,0.0060296,0.0060296,0,3.8922,0,0
2.1564,0,0,0.0065336,0.0065336,0,3.8323,0,0
1.9804,0,0,0.0058512,0.0058512,0,3.7725,0,0
2.2531,0,0,0.004754,0.004754,0,3.7126,0,0
1.9127,0,0,0.0043718,0.0043718,0,3.6527,0,0
2.6706,0,0,0.0038933,0.0038933,0,3.5928,0,0
2.1675,0,0,0.0040344,0.0040344,0,3.5329,0,0
2.1463,0,0,0.0037159,0.0037159,0,3.4731,0,0
2.3497,0,0,0.0031221,0.0031221,0,3.4132,0,0
2.3091,0,0,0.0028678,0.0028678,0,3.3533,0,0
2.0769,0,0,0.0030635,0.0030635,0,3.2934,0,0
1.9257,0,0,0.0026599,0.0026599,0,3.2335,0,0
2.1886,0,0,0.0020196,0.0020196,0,3.1737,0,0
1.8452,0,0,0.001711,0.001711,0,3.1138,0,0
2.5834,0,0,0.001429,0.001429,0,3.0539,0,0
2.0942,0,0,0.001313,0.001313,0,2.994,0,0
2.083,0,0,0.0010738,0.0010738,0,2.9341,0,0
2.2676,0,0,0.00079132,0.00079132,0,2.8743,0,0
2.2445,0,0,0.00057685,0.00057685,0,2.8144,0,0
2.0019,0,0,0.0004856,0.0004856,0,2.7545,0,0
1.8293,0,0,0.00031291,0.00031291,0,2.6946,0,0
2.0546,0,0,9.0005e-05,9.0005e-05,0,2.6347,0,0
1.7847,0,0,-0.0001263,-0.0001263,0,2.5749,0,0
2.4861,0,0,-0.00022578,-0.00022578,0,2.515,0,0
2.0118,0,0,-0.00044075,-0.00044075,0,2.4551,0,0
1.9684,0,0,-0.00059359,-0.00059359,0,2.3952,0,0
2.1766,0,0,-0.00064521,-0.00064521,0,2.3353,0,0
2.0961,0,0,-0.00079511,-0.00079511,0,2.2754,0,0
2.0441,0,0,-0.000996,-0.000996,0,2.2156,0,0
1.7657,0,0,-0.0010361,-0.0010361,0,2.1557,0,0
1.9888,0,0,-0.0010072,-0.0010072,0,2.0958,0,0
1.7236,0,0,-0.0011659,-0.0011659,0,2.0359,0,0
2.3411,0,0,-0.0011857,-0.0011857,0,1.976,0,0
1.941,0,0,-0.0014241,-0.0014241,0,1.9162,0,0
1.9573,0,0,-0.001504,-0.001504,0,1.8563,0,0
2.0209,0,0,-0.0014668,-0.0014668,0,1.7964,0,0
2.086,0,0,-0.0016224,-0.0016224,0,1.7365,0,0
1.6378,0,0,-0.0019211,-0.0019211,0,1.6766,0,0
2.0833,0,0,-0.0016467,-0.0016467,0,1.6168,0,0
1.9475,0,0,-0.0017653,-0.0017653,0,1.5569,0,0
1.9174,0,0,-0.0021006,-0.0021006,0,1.497,0,0
1.8532,0,0,-0.0022648,-0.0022648,0,1.4371,0,0
2.0891,0,0,-0.002671,-0.002671,0,1.3772,0,0
1.7028,0,0,-0.0034076,-0.0034076,0,1.3174,0,0
1.8855,0,0,-0.0032706,-0.0032706,0,1.2575,0,0
1.8601,0,0,-0.0032999,-0.0032999,0,1.1976,0,0
1.8007,0,0,-0.0035865,-0.0035865,0,1.1377,0,0
1.8644,0,0,-0.0035035,-0.0035035,0,1.0778,0,0
1.8851,0,0,-0.003755,-0.003755,0,1.018,0,0
1.5609,0,0,-0.004963,-0.004963,0,0.95808,0,0
1.7907,0,0,-0.0049537,-0.0049537,0,0.8982,0,0
1.7768,0,0,-0.0059361,-0.0059361,0,0.83832,0,0
1.6737,0,0,-0.0075799,-0.0075799,0,0.77844,0,0
1.6097,0,0,-0.0078862,-0.0078862,0,0.71856,0,0
1.8436,0,0,-0.0074399,-0.0074399,0,0.65868,0,0
1.7452,0,0,-0.010809,-0.010809,0,0.5988,0,0
1.4464,0,0,-0.010986,-0.010986,0,0.53892,0,0
1.9555,0,0,-0.011168,-0.011168,0,0.47904,0,0
1.4308,0,0,-0.015521,-0.015521,0,0.41916,0,0
1.7046,0,0,-0.015397,-0.015397,0,0.35928,0,0
1.4072,0,0,-0.017475,-0.017475,0,0.2994,0,0
1.4783,0,0,-0.011363,-0.011363,0,0.23952,0,0
1.4044,0,0,0.031107,0.031107,0,0.17964,0,0
1.3845,0,0,0.17368,0.17368,0,0.11976,0,0
1.4904,0,0,0.66131,0.66131,0,0.05988,0,0
1,0,0,-1.7399,-1.7399,0.0017301,0,0.058824,0
1,0,0,0.067566,0.067566,0.0069204,0,0.11765,0
1,0,0,-0.10164,-0.10164,0.015571,0,0.17647,0
1,0,0,0.14443,0.14443,0.027682,0,0.23529,0
